case_title,case_url,pdf_url
pdpc_case_47,https://www.pdpc.gov.sg/all-commissions-decisions/2020/10/breach-of-the-protection-obligation-by-courts,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---courts-singapore---140820.pdf
pdpc_case_48,https://www.pdpc.gov.sg/all-commissions-decisions/2020/10/breach-of-the-protection-obligation-by-horizon-fast-ferry,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision----horizon-fast-ferry-pte-ltd---27082020.pdf
pdpc_case_49,https://www.pdpc.gov.sg/all-commissions-decisions/2020/10/breach-of-the-protection-obligation-by-mri-diagnostics-and-breach-of-the-accountability-obligation-by-clarity-radiology,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---mri-diagnostics-pte-ltd-and-other---22072020.pdf
pdpc_case_50,https://www.pdpc.gov.sg/all-commissions-decisions/2020/10/breach-of-the-protection-obligation-by-security-masters,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---security-masters-pte-ltd---21072020.pdf
pdpc_case_51,https://www.pdpc.gov.sg/all-commissions-decisions/2020/10/breach-of-the-protection-obligation-by-tanah-merah-country-club,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---tanah-merah-country-club---21072020.pdf
pdpc_case_52,https://www.pdpc.gov.sg/all-commissions-decisions/2020/10/breach-of-the-protection-obligation-by-vimalakirti-buddhist-centre,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---vimalakirti-buddhist-centre---04092020.pdf
pdpc_case_53,https://www.pdpc.gov.sg/all-commissions-decisions/2020/10/breach-of-the-retention-obligation-by-interauct,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---interauct-pte-ltd---04082020.pdf
pdpc_case_54,https://www.pdpc.gov.sg/all-commissions-decisions/2020/11/breach-of-the-consent-and-accountability-obligations-by-majestic-debt-recovery,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---majestic-debt-recovery---02032020.pdf
pdpc_case_55,https://www.pdpc.gov.sg/all-commissions-decisions/2020/11/breach-of-the-protection-and-retention-limitation-obligations-by-times-software-breach-of-the-protection-obligation-by-dentons-and-tmf,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---times-and-others---18062020.pdf
pdpc_case_56,https://www.pdpc.gov.sg/all-commissions-decisions/2020/11/breach-of-the-protection-and-retention-limitation-obligations-by-worksmartly,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision----worksmartly-pte-ltd---17092020.pdf
pdpc_case_57,https://www.pdpc.gov.sg/all-commissions-decisions/2020/11/breach-of-the-protection-obligation-by-novelship,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---novelship-pte-ltd---22072020.pdf
pdpc_case_58,https://www.pdpc.gov.sg/all-commissions-decisions/2020/11/breach-of-the-protection-obligation-by-secur-solutions-group,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---secur-solutions-group-pte-ltd---30032020.pdf
pdpc_case_59,https://www.pdpc.gov.sg/all-commissions-decisions/2020/12/breach-of-protection-obligation-by-hello-travel,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---hello-travel-pte-ltd---301020.pdf
pdpc_case_60,https://www.pdpc.gov.sg/all-commissions-decisions/2020/12/breach-of-the-accountability-and-protection-obligations-by-everlast-projects,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---everlast-projects-and-others---301020.pdf
pdpc_case_61,https://www.pdpc.gov.sg/all-commissions-decisions/2020/12/breach-of-the-protection-obligation-by-rise-aerospace,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---rise-aerospace-pte-ltd---131120.pdf
pdpc_case_62,https://www.pdpc.gov.sg/all-commissions-decisions/2020/12/breach-of-the-protection-obligation-by-water--plants-lab,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision--water--plants-lab-pte-ltd--181120.pdf
pdpc_case_63,https://www.pdpc.gov.sg/all-commissions-decisions/2021/01/breach-of-the-protection-obligation-by-bls-international-services-singapore,"https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---bls-international-services-singapore-pte,-d-,-ltd,-d-,-30112020-(003).pdf"
pdpc_case_64,https://www.pdpc.gov.sg/all-commissions-decisions/2021/01/breach-of-the-protection-obligation-by-the-future-of-cooking,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---the-future-of-cooking-pte-ltd-20112020-(003).pdf
pdpc_case_65,https://www.pdpc.gov.sg/all-commissions-decisions/2021/01/no-breach-of-the-transfer-limitation-obligation-by-singapore-technologies-engineering,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision----st-engineering-ltd---16112020.pdf
pdpc_case_66,https://www.pdpc.gov.sg/all-commissions-decisions/2021/03/breach-of-the-protection-and-accountability-obligations-by-jigyasa,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---jigyasa---30032020.pdf
pdpc_case_67,https://www.pdpc.gov.sg/all-commissions-decisions/2021/03/breach-of-the-protection-obligation-by-iapps,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---iapps-pte-ltd---10022021.pdf
pdpc_case_68,https://www.pdpc.gov.sg/all-commissions-decisions/2021/04/breach-of-the-protection-and-accountability-obligations-by-chapel-of-christ-the-redeemer,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---chapel-of-christ-the-redeemer---290121.pdf
pdpc_case_69,https://www.pdpc.gov.sg/all-commissions-decisions/2021/04/breach-of-the-protection-obligation-by-flying-cape,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---flying-cape-pte-ltd---17032021.pdf
pdpc_case_70,https://www.pdpc.gov.sg/all-commissions-decisions/2021/04/breach-of-the-protection-obligation-by-st-josephs-institution-international,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision--st-josephs-institution-international-ltd--12032021.pdf
pdpc_case_71,https://www.pdpc.gov.sg/all-commissions-decisions/2021/04/breach-of-the-protection-obligation-by-tripartite-alliance,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---tripartite-alliance-limited---16032021.pdf
pdpc_case_72,https://www.pdpc.gov.sg/all-commissions-decisions/2021/05/breach-of-the-consent-obligation-by-greatearth-corporation,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---progressive-builders-and-greatearth-corporation---16042021-(002).pdf
pdpc_case_73,https://www.pdpc.gov.sg/all-commissions-decisions/2021/05/outcome-of-a-review-application-involving-an-individual-and-hsbc-bank,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision--hsbc-bank-singapore-limited--10032021.pdf
pdpc_case_74,https://www.pdpc.gov.sg/all-commissions-decisions/2021/06/breach-of-the-protection-and-accountability-obligation-by-webcada,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---webcada-pte-ltd-06052021.pdf
pdpc_case_75,https://www.pdpc.gov.sg/all-commissions-decisions/2021/06/breach-of-the-protection-and-consent-obligation-by-larsen-toubro-infotech,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision--larsen--toubro-infotech-limited-singapore-branch-06052021.pdf
pdpc_case_76,https://www.pdpc.gov.sg/all-commissions-decisions/2021/06/breach-of-the-protection-obligation-by-hmi-institute-of-health-sciences,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---hmi-institute-of-health-sciences---20052021.pdf
pdpc_case_77,https://www.pdpc.gov.sg/all-commissions-decisions/2021/06/breach-of-the-protection-obligation-by-st-logistics,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---st-logistics-pte-ltd---26102020.pdf
pdpc_case_78,https://www.pdpc.gov.sg/all-commissions-decisions/2021/08/no-breach-of-the-protection-obligation-by-singapore-telecommunications-limited,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---singapore-telecommunications-limited---21062021.pdf
pdpc_case_79,https://www.pdpc.gov.sg/all-commissions-decisions/2021/09/breach-of-the-protection-obligation-by-sap-asia,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---sap-asia-pte-ltd---310721.pdf
pdpc_case_80,https://www.pdpc.gov.sg/all-commissions-decisions/2021/09/breach-of-the-protection-obligation-by-sendtech,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---sendtech-pte-ltd---220721.pdf
pdpc_case_81,https://www.pdpc.gov.sg/all-commissions-decisions/2021/09/breach-of-the-protection-obligation-by-seriously-keto,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/commissions-decisions/decision---seriously-keto-pte-ltd---14072021.pdf
